experiment_tag louvain_Baseline
run_name louvain_Baseline_polbooks_normalized
dataset polbooks_normalized
method louvain
n 105
edges 441
density 0.08076923076923077
seed 0
resolution 1.0
weight_key weight
num_communities 5
modularity_custom 0.5266195669500016
modularity_louvain_api 0.5266195669499848
graph_build_time_seconds 0.002540400004363619
louvain_time_seconds 0.010763300000689924
time_seconds 0.08939740000641905
