selection_type,risk_index,pred_score,pred_score_norm,stability_score,final_select_score,consensus_match_count,pred_rank_desc,true_score_in_grid,dataset,alpha,beta,T,h,rho,lr,lam_sparse,batch_size,epochs,k_min,k_max,k_n_init,best_k,modularity,time_seconds
recommended_risk_controlled,0.5,0.8941874131016426,1.0,0.875,0.9375,7.0,1.0,0.9923781412353572,lesmis,0.9,0.09999999999999998,8,16,0.05,0.01,0.00033,32,600,2,14,10,7,0.49551754907793133,60.329750999999305
random_1,,0.3622329809489926,,,,,217.0,-0.6669810824055205,lesmis,0.9,0.09999999999999998,10,32,0.05,0.01,0.00033,16,600,2,14,10,9,0.41931662700773487,124.83152330000121
random_2,,0.5052898148128228,,,,,143.0,-0.05418886846600512,lesmis,0.7,0.30000000000000004,8,32,0.05,0.01,0.00066,32,600,2,14,10,5,0.4303145449137432,56.99639070000012
random_3,,0.12252260092070044,,,,,336.0,0.8802579892345923,lesmis,0.3,0.7,8,32,0.05,0.01,0.0001,16,600,2,14,10,5,0.4583164782867359,176.41156129999945
random_4,,0.7055016858427263,,,,,60.0,0.819657181023334,lesmis,0.7,0.30000000000000004,6,48,0.05,0.01,0.00066,32,600,2,14,10,6,0.45419318857822844,38.75439279999955
random_5,,-0.8026031203516284,,,,,634.0,-0.969136371175725,lesmis,0.7,0.30000000000000004,10,16,0.05,0.01,0.01,32,600,2,14,10,8,0.24702483640690318,69.90870729999915
