selection_type,risk_index,pred_score,pred_score_norm,stability_score,final_select_score,consensus_match_count,pred_rank_desc,true_score_in_grid,dataset,alpha,beta,T,h,rho,lr,lam_sparse,batch_size,epochs,k_min,k_max,k_n_init,best_k,modularity,time_seconds
recommended_risk_controlled,0.5,0.9260593990594461,1.0,1.0,1.0,8.0,1.0,0.9950134166395885,football,0.9,0.09999999999999998,6,32,0.05,0.01,0.0001,32,600,2,14,10,9,0.5963424337824501,52.44140789999983
random_1,,0.68091338880245,,,,,66.0,0.5286841738728723,football,0.7,0.30000000000000004,6,16,0.05,0.01,0.00066,16,600,2,14,10,9,0.5859237989296547,100.1635884999996
random_2,,0.43575133443565733,,,,,182.0,0.9944896535960028,football,0.5,0.5,8,32,0.05,0.02,0.00066,16,600,2,14,10,12,0.5696159076453825,144.1617685000001
random_3,,-0.021974174909068275,,,,,392.0,0.6669810824055205,football,0.3,0.7,8,16,0.05,0.01,0.0001,32,600,2,14,10,10,0.5861433487062471,75.31956050000008
random_4,,-0.1915907539604624,,,,,463.0,-0.9411773490825908,football,0.3,0.7,8,32,0.05,0.01,0.00066,32,600,2,14,10,7,0.5674443607641821,96.75097559999995
random_5,,0.6340371384939647,,,,,83.0,-0.7066143600395585,football,0.9,0.09999999999999998,6,48,0.05,0.01,0.00066,32,600,2,14,10,11,0.5783220542407645,58.86839470000086
