dataset,recommended_modularity,random_mean_modularity,random_max_modularity,recommended_minus_random_mean,recommended_minus_random_max,random_trials
lesmis,0.458877900059493,0.39954892920880586,0.4583164782867359,0.05932897085068717,0.0005614217727571424,5
sociopatterns-hypertext,0.373190695,0.18009302019999998,0.215093881,0.19309767480000004,0.15809681400000003,5
adjnoun,0.2222366782006933,0.03769356401384092,0.1167916955017288,0.18454311418685238,0.10544498269896449,5
soc-dolphins_normalized,0.4647165855780985,0.3745817016731908,0.4526521893912386,0.09013488390490765,0.012064396186859894,5
