test_dataset,risk_index,recommend_ratio,random_trials,recommended_modularity,random_mean_modularity,random_max_modularity,random_min_modularity,random_std_modularity,recommended_minus_random_mean,recommended_minus_random_max,recommended_rank_in_actual_tests,actual_test_count,recommended_alpha,recommended_beta,recommended_T,recommended_h,recommended_rho,recommended_lr,recommended_lam_sparse,recommended_batch_size,recommended_best_k,recommended_pred_score,recommended_stability_score,recommended_final_select_score,elapsed_seconds_for_dataset
lesmis,0.5,0.1,5,0.49551754907793133,0.40183313503866913,0.4583164782867359,0.24702483640690318,0.08805455098447613,0.0936844140392622,0.037201070791195445,1,6,0.9,0.09999999999999998,8,16,0.05,0.01,0.00033,32,7,0.8941874131016426,0.875,0.9375,530.5397002000009
football,0.5,0.1,5,0.5963424337824501,0.5774898940572463,0.5861433487062471,0.5674443607641821,0.008797981593616474,0.018852539725203843,0.01019908507620304,1,6,0.9,0.09999999999999998,6,32,0.05,0.01,0.0001,32,9,0.9260593990594461,1.0,1.0,531.1644166000005
