selection_type,risk_index,pred_score,pred_score_norm,stability_score,final_select_score,consensus_match_count,pred_rank_desc,true_score_in_grid,dataset,alpha,beta,T,h,rho,lr,lam_sparse,batch_size,epochs,k_min,k_max,k_n_init,best_k,modularity,time_seconds
recommended_risk_controlled,0.5,0.9312822616332238,0.9321792445432335,1.0,0.9660896222716168,8.0,3.0,0.9948015039187079,adjnoun,0.9,0.09999999999999998,6,48,0.05,0.01,0.00033,16,600,3,14,10,4,0.22223667820069334,290.0297839976847
random_1,,0.13007288650623444,,,,,321.0,-0.6669810824055205,adjnoun,0.3,0.7,8,48,0.05,0.02,0.0001,32,600,3,14,10,7,-0.004204844290657255,220.70107347890735
random_2,,-0.9234617952241782,,,,,706.0,-0.05418886846600512,adjnoun,0.5,0.5,8,48,0.05,0.01,0.01,32,600,3,14,10,3,0.034737716262976046,221.210167337209
random_3,,-0.18659352441950397,,,,,465.0,0.8830453684626614,adjnoun,0.7,0.30000000000000004,10,48,0.05,0.02,0.0001,16,600,3,14,10,4,0.11679169550172888,520.112724866718
random_4,,0.13308869909926344,,,,,318.0,0.819657181023334,adjnoun,0.5,0.5,8,32,0.05,0.02,0.00033,32,600,3,14,10,3,0.03357508650519094,221.17390102148056
random_5,,-0.6999396425333136,,,,,584.0,-0.969136371175725,adjnoun,0.3,0.7,10,16,0.05,0.02,0.01,32,600,3,14,10,4,0.007568166089966109,286.4739612452686
