selection_type,risk_index,pred_score,pred_score_norm,stability_score,final_select_score,consensus_match_count,pred_rank_desc,true_score_in_grid,dataset,alpha,beta,T,h,rho,lr,lam_sparse,batch_size,epochs,k_min,k_max,k_n_init,best_k,modularity,time_seconds
recommended_risk_controlled,0.5,0.8662701215216584,0.8876416189555644,1.0,0.9438208094777822,8.0,10.0,0.8910464346707954,lesmis,0.9,0.09999999999999998,6,16,0.05,0.01,0.00033,32,600,2,14,10,4,0.458877900059493,119.32045332342386
random_1,,0.35952751733931015,,,,,216.0,-0.6669810824055205,lesmis,0.9,0.09999999999999998,10,32,0.05,0.01,0.00033,16,600,2,14,10,11,0.40789559785841867,372.94359927251935
random_2,,0.47821409514642155,,,,,156.0,-0.05418886846600512,lesmis,0.7,0.30000000000000004,8,32,0.05,0.01,0.00066,32,600,2,14,10,5,0.4303145449137432,163.69670520350337
random_3,,0.11304980302621122,,,,,348.0,0.8802579892345923,lesmis,0.3,0.7,8,32,0.05,0.01,0.0001,16,600,2,14,10,5,0.4583164782867359,291.76683223992586
random_4,,0.6965293654777123,,,,,63.0,0.819657181023334,lesmis,0.7,0.30000000000000004,6,48,0.05,0.01,0.00066,32,600,2,14,10,6,0.45419318857822844,117.86569690331817
random_5,,-0.7984356738223768,,,,,635.0,-0.969136371175725,lesmis,0.7,0.30000000000000004,10,16,0.05,0.01,0.01,32,600,2,14,10,8,0.24702483640690318,210.06247883290052
