experiment_tag louvain_Baseline
run_name louvain_Baseline_ia-workplace-contacts
dataset ia-workplace-contacts
method louvain
n 92
edges 755
density 0.18036311514572384
seed 0
resolution 1.0
weight_key weight
num_communities 7
modularity_custom 0.6096440435407181
modularity_louvain_api 0.6096440435407176
graph_build_time_seconds 0.02183119999244809
louvain_time_seconds 0.013874399999622256
time_seconds 0.10084500000812113
